a,atang
0.123865, -0.123865
0.065216, -0.017653
0.077034, 0.006310
0.211770, 0.030420
0.349655, 0.028142
0.319018, 0.016376
0.329465, 0.011297
0.341077, 0.008480
0.343357, 0.006701
0.338646, 0.005526
0.339431, 0.004783
0.343245, 0.004615
0.349100, 0.004479
0.365480, 0.004280
0.389388, 0.004165
0.427761, 0.004145
0.511433, 0.004300
0.000000, 0.000000
