r,twist,chord,thick
2.8,14.5,5.38,99.0
6.030217666617281,14.624091691106083,5.340092670991227,97.34768584189872
8.82844948594817,14.602739735126015,5.3745025975398955,92.38553016915294
11.274911851759436,14.396956817011578,5.4655567166750005,85.10446427228668
13.449821157817855,13.967755621714561,5.595581965425541,76.49541944182408
15.433393797890197,13.276148834186738,5.746905280820517,67.54932696828914
17.30619343604006,12.283684515927424,5.9018466072959255,59.25448680731027
19.19764575231451,11.027239881725539,6.041742009601479,52.22896187177622
21.335996530601868,9.696040235177339,6.1459377227426595,46.34203583833194
23.95758069535468,8.495713008674004,6.193722508539768,41.3745105826265
27.0982097043314,7.528466101886899,6.173938749962606,37.20383868887855
30.49870216346447,6.744365506138722,6.089483294501346,33.84965693860773
33.88216584014894,6.081600397623017,5.944607181695715,31.3379281340871
37.12821717207434,5.486354772764538,5.749639081481951,29.560563053175013
40.28546553399414,4.913445173070846,5.521470090076971,28.26472748750905
43.407878628879104,4.320335436189889,5.276878106838878,27.200263679140942
46.501666151753085,3.6992746746681795,5.02574791967561,26.27187104075153
49.53511885898304,3.0701308394783586,4.772491318741,25.50720259649102
52.4775208061692,2.4528427123250633,4.5213103732952655,24.933551051742516
55.31876642636235,1.8603709012507783,4.275810801305747,24.540310203205284
58.060717544635224,1.3016241457665854,4.039252050045732,24.294867889729808
60.702994654860674,0.7848786511167135,3.8147227328929487,24.163951739906736
63.22883917683959,0.3144156949384532,3.6041693389837635,24.111621084039136
65.61462228575026,-0.10715912776040831,3.4090592905125874,24.100816027870664
67.84969252773581,-0.47985733563129485,3.229964800001889,24.099489806090315
69.98546048890834,-0.8161563480850614,3.06319245795364,24.099545013782564
72.09182400967097,-1.1322475406410553,2.903778164511085,24.100022672225194
74.1742175998774,-1.434699755724436,2.751000972011346,24.100196017328635
76.02178998278711,-1.6977959991969591,2.618376484004483,24.100113258124736
77.37887316501892,-1.8891217679964867,2.522369223681856,24.099984702155055
78.13338836584963,-1.9954927728284602,2.4696867310916075,24.099949234829527
78.51558207522991,-2.049570704129308,2.4437753149286428,24.09997546692454
78.80458679043396,-2.090558534618069,2.424759079118698,24.100007478570486
79.19517823128672,-2.1458920132472845,2.398464364464807,24.100013899220826
79.73685192452272,-2.2227412435450664,2.3605379684023045,24.10000563744997
80.46305592018624,-2.3260237149612637,2.307709153637839,24.0999975590087
81.34613210780446,-2.4516213070189288,2.2407545978388694,24.099996431169217
82.28146061049031,-2.584035761875068,2.1655486022538413,24.099998821361154
83.16293742290175,-2.7075300033188707,2.088101073324465,24.100000774631756
83.95329837165428,-2.816156715427639,2.0106124056394448,24.100000909940658
84.67903360795346,-2.9130351290339083,1.9317549076736877,24.10000023001343
85.36786983676518,-3.001512935009703,1.8497988887381684,24.099999765152443
86.03294615953939,-3.083520546395482,1.7596546766319394,24.09999976714228
86.67748565159293,-3.160024971653273,1.653948628079409,24.099999958564577
87.3019137397195,-3.231674606754795,1.5260161502481049,24.10000007760364
87.88503559922819,-3.296629328682856,1.375432121822922,24.100000075613806
88.39496618114634,-3.3518185557394444,1.2048565544238494,24.10000000935224
88.79974445933823,-3.3941629611565234,1.016971386212558,24.099999936325233
89.06740940766804,-3.4205832181660543,0.814458555350718,24.099999914039053
89.166,-3.428,0.6,24.1
