AoA,Cl_s,Cd_s,Cm_s,f_s,Cl_inv,Cl_fs
-180.0,0.0,0.0,0.0,0.0,-22.983,0.0
-175.0,0.174,0.011,0.022,0.0,-22.335,0.174
-170.0,0.342,0.045,0.043,0.0,-21.687,0.342
-165.0,0.5,0.101,0.065,0.0,-21.039,0.5
-160.0,0.643,0.175,0.086,0.0,-20.391,0.643
-155.0,0.766,0.268,0.106,0.0,-19.743,0.766
-150.0,0.866,0.375,0.125,0.0,-19.095,0.866
-145.0,0.94,0.493,0.143,0.0,-18.447,0.94
-140.0,0.985,0.62,0.161,0.0,-17.799,0.985
-135.0,1.0,0.75,0.177,0.0,-17.15,1.0
-130.0,0.985,0.88,0.192,0.0,-16.502,0.985
-125.0,0.94,1.006,0.205,0.0,-15.854,0.94
-120.0,0.866,1.125,0.216,0.0,-15.206,0.866
-115.0,0.766,1.232,0.227,0.0,-14.558,0.766
-110.0,0.643,1.325,0.235,0.0,-13.91,0.643
-105.0,0.5,1.399,0.241,0.0,-13.262,0.5
-100.0,0.342,1.455,0.246,0.0,-12.614,0.342
-95.0,0.174,1.489,0.249,0.0,-11.966,0.174
-90.0,0.0,1.5,0.25,0.0,-11.318,0.0
-85.0,-0.174,1.489,0.249,0.0,-10.67,-0.174
-80.0,-0.342,1.455,0.246,0.0,-10.022,-0.342
-75.0,-0.5,1.399,0.241,0.0,-9.373,-0.5
-70.0,-0.643,1.325,0.235,0.0,-8.725,-0.643
-65.0,-0.766,1.232,0.227,0.0,-8.077,-0.766
-60.0,-0.866,1.125,0.216,0.0,-7.429,-0.866
-55.0,-0.94,1.006,0.205,0.0,-6.781,-0.94
-50.0,-0.985,0.86,0.192,0.0,-6.133,-0.985
-45.0,-1.012,0.712,0.171,0.0,-5.485,-1.012
-40.0,-1.038,0.547,0.142,0.0,-4.837,-1.038
-39.0,-1.042,0.516,0.135,0.0,-4.707,-1.042
-38.0,-1.046,0.482,0.128,0.0,-4.578,-1.046
-37.0,-1.052,0.449,0.118,0.0,-4.448,-1.052
-36.0,-1.057,0.418,0.11,0.0,-4.318,-1.057
-35.0,-1.061,0.385,0.101,0.0,-4.189,-1.061
-34.0,-1.065,0.356,0.089,0.001,-4.059,-1.064
-33.0,-1.072,0.329,0.082,0.002,-3.93,-1.066
-32.0,-1.077,0.303,0.068,0.004,-3.8,-1.065
-30.0,-1.089,0.256,0.051,0.012,-3.541,-1.059
-28.0,-1.099,0.209,0.034,0.025,-3.282,-1.044
-26.0,-1.117,0.176,0.021,0.047,-3.022,-1.024
-24.0,-1.128,0.142,0.007,0.077,-2.763,-0.991
-22.0,-1.121,0.118,-0.001,0.115,-2.504,-0.943
-20.0,-1.115,0.094,-0.009,0.168,-2.245,-0.887
-18.0,-1.092,0.076,-0.012,0.233,-1.985,-0.82
-16.0,-1.069,0.059,-0.016,0.329,-1.726,-0.746
-14.0,-1.038,0.045,-0.016,0.466,-1.467,-0.664
-12.0,-1.007,0.032,-0.015,0.682,-1.208,-0.575
-10.0,-0.848,0.023,-0.032,0.794,-0.948,-0.461
-8.0,-0.689,0.014,-0.048,1.0,-0.689,-0.345
-6.0,-0.428,0.012,-0.061,0.99,-0.43,-0.215
-4.0,-0.167,0.01,-0.074,0.951,-0.171,-0.085
-2.0,0.086,0.009,-0.081,0.951,0.088,0.044
0.0,0.339,0.009,-0.088,0.951,0.348,0.173
2.0,0.587,0.009,-0.093,0.934,0.607,0.301
4.0,0.83,0.01,-0.098,0.918,0.866,0.428
6.0,1.066,0.011,-0.101,0.895,1.125,0.555
8.0,1.291,0.012,-0.103,0.868,1.385,0.68
10.0,1.501,0.014,-0.102,0.83,1.644,0.803
12.0,1.689,0.017,-0.1,0.781,1.903,0.922
14.0,1.81,0.023,-0.094,0.689,2.162,1.031
16.0,1.814,0.035,-0.087,0.534,2.422,1.117
18.0,1.754,0.065,-0.085,0.382,2.681,1.182
20.0,1.607,0.103,-0.091,0.229,2.94,1.211
22.0,1.526,0.144,-0.103,0.145,3.199,1.241
24.0,1.443,0.184,-0.114,0.085,3.459,1.255
26.0,1.383,0.229,-0.128,0.048,3.718,1.264
28.0,1.322,0.274,-0.142,0.023,3.977,1.258
30.0,1.258,0.328,-0.158,0.008,4.236,1.234
32.0,1.194,0.382,-0.174,0.001,4.495,1.191
33.0,1.173,0.421,-0.179,0.0,4.625,1.173
34.0,1.157,0.45,-0.183,0.0,4.755,1.157
35.0,1.138,0.481,-0.187,0.0,4.884,1.138
36.0,1.125,0.51,-0.191,0.0,5.014,1.125
37.0,1.118,0.545,-0.195,0.0,5.144,1.118
38.0,1.102,0.574,-0.199,0.0,5.273,1.102
39.0,1.089,0.6,-0.203,0.0,5.403,1.089
40.0,1.075,0.628,-0.207,0.0,5.532,1.075
45.0,1.018,0.758,-0.216,0.0,6.18,1.018
50.0,0.972,0.882,-0.218,0.0,6.829,0.972
55.0,0.927,1.01,-0.221,0.0,7.477,0.927
60.0,0.866,1.125,-0.226,0.0,8.125,0.866
65.0,0.766,1.232,-0.231,0.0,8.773,0.766
70.0,0.643,1.325,-0.235,0.0,9.421,0.643
75.0,0.5,1.399,-0.241,0.0,10.069,0.5
80.0,0.342,1.455,-0.246,0.0,10.717,0.342
85.0,0.174,1.489,-0.249,0.0,11.365,0.174
90.0,0.0,1.5,-0.25,0.0,12.013,0.0
95.0,-0.174,1.489,-0.249,0.0,12.661,-0.174
100.0,-0.342,1.455,-0.246,0.0,13.309,-0.342
105.0,-0.5,1.399,-0.241,0.0,13.957,-0.5
110.0,-0.643,1.325,-0.235,0.0,14.605,-0.643
115.0,-0.766,1.232,-0.227,0.0,15.254,-0.766
120.0,-0.866,1.125,-0.216,0.0,15.902,-0.866
125.0,-0.94,1.006,-0.205,0.0,16.55,-0.94
130.0,-0.985,0.88,-0.192,0.0,17.198,-0.985
135.0,-1.0,0.75,-0.177,0.0,17.846,-1.0
140.0,-0.985,0.62,-0.161,0.0,18.494,-0.985
145.0,-0.94,0.493,-0.143,0.0,19.142,-0.94
150.0,-0.866,0.375,-0.125,0.0,19.79,-0.866
155.0,-0.766,0.268,-0.106,0.0,20.438,-0.766
160.0,-0.643,0.175,-0.086,0.0,21.086,-0.643
165.0,-0.5,0.101,-0.065,0.0,21.734,-0.5
170.0,-0.342,0.045,-0.043,0.0,22.382,-0.342
175.0,-0.174,0.011,-0.022,0.0,23.031,-0.174
180.0,0.0,0.0,0.0,0.0,23.679,0.0
