AoA,Cl_s,Cd_s,Cm_s,f_s,Cl_inv,Cl_fs
-180.0,0.0,0.0,0.0,1.0,0.0,0.0
-175.0,0.174,0.01,0.022,1.0,0.174,0.174
-170.0,0.342,0.039,0.043,1.0,0.342,0.342
-165.0,0.5,0.087,0.065,1.0,0.5,0.5
-160.0,0.643,0.152,0.086,1.0,0.643,0.643
-155.0,0.766,0.232,0.106,1.0,0.766,0.766
-150.0,0.866,0.325,0.125,1.0,0.866,0.866
-145.0,0.94,0.428,0.143,1.0,0.94,0.94
-140.0,0.985,0.537,0.161,1.0,0.985,0.985
-135.0,1.0,0.65,0.177,1.0,1.0,1.0
-130.0,0.985,0.763,0.192,1.0,0.985,0.985
-125.0,0.94,0.872,0.205,1.0,0.94,0.94
-120.0,0.866,0.975,0.216,1.0,0.866,0.866
-115.0,0.766,1.068,0.227,1.0,0.766,0.766
-110.0,0.643,1.148,0.235,1.0,0.643,0.643
-105.0,0.5,1.213,0.241,1.0,0.5,0.5
-100.0,0.342,1.261,0.246,1.0,0.342,0.342
-95.0,0.174,1.29,0.249,1.0,0.174,0.174
-90.0,0.0,1.3,0.25,1.0,0.0,0.0
-85.0,-0.174,1.29,0.249,1.0,-0.174,-0.174
-80.0,-0.342,1.261,0.246,1.0,-0.342,-0.342
-75.0,-0.5,1.213,0.241,1.0,-0.5,-0.5
-70.0,-0.643,1.148,0.235,1.0,-0.643,-0.643
-65.0,-0.766,1.068,0.227,1.0,-0.766,-0.766
-60.0,-0.866,0.975,0.216,1.0,-0.866,-0.866
-55.0,-0.94,0.872,0.205,1.0,-0.94,-0.94
-50.0,-0.985,0.763,0.192,1.0,-0.985,-0.985
-45.0,-1.0,0.65,0.177,1.0,-1.0,-1.0
-40.0,-0.962,0.542,0.142,1.0,-0.962,-0.962
-39.0,-0.864,0.521,0.135,1.0,-0.864,-0.864
-38.0,-0.776,0.499,0.128,1.0,-0.776,-0.776
-37.0,-0.678,0.477,0.12,1.0,-0.678,-0.678
-36.0,-0.601,0.456,0.114,1.0,-0.601,-0.601
-35.0,-0.493,0.434,0.106,1.0,-0.493,-0.493
-34.0,-0.415,0.413,0.099,1.0,-0.415,-0.415
-33.0,-0.328,0.391,0.092,1.0,-0.328,-0.328
-32.0,-0.237,0.243,-0.047,1.0,-0.237,-0.237
-30.0,-0.157,0.223,-0.061,1.0,-0.157,-0.157
-28.0,-0.078,0.203,-0.074,1.0,-0.078,-0.078
-26.0,0.012,0.186,-0.087,1.0,0.012,0.012
-24.0,0.101,0.168,-0.101,1.0,0.101,0.101
-22.0,0.196,0.153,-0.113,1.0,0.196,0.196
-20.0,0.292,0.137,-0.126,1.0,0.292,0.292
-18.0,0.393,0.124,-0.137,1.0,0.393,0.393
-16.0,0.495,0.111,-0.148,1.0,0.495,0.495
-14.0,0.6,0.101,-0.157,1.0,0.6,0.6
-12.0,0.706,0.091,-0.166,1.0,0.706,0.706
-10.0,0.788,0.084,-0.168,1.0,0.788,0.788
-8.0,0.87,0.076,-0.169,1.0,0.87,0.87
-6.0,0.829,0.075,-0.146,1.0,0.829,0.829
-4.0,0.788,0.073,-0.123,1.0,0.788,0.788
-2.0,0.595,0.076,-0.081,1.0,0.595,0.595
0.0,0.402,0.078,-0.04,1.0,0.402,0.402
2.0,0.078,0.078,0.016,1.0,0.078,0.078
4.0,-0.359,0.071,0.093,1.0,-0.359,-0.359
6.0,-0.2,0.08,0.052,1.0,-0.2,-0.2
8.0,-0.027,0.096,0.013,1.0,-0.027,-0.027
10.0,0.113,0.115,-0.017,1.0,0.113,0.113
12.0,0.23,0.136,-0.044,1.0,0.23,0.23
14.0,0.33,0.161,-0.067,1.0,0.33,0.33
16.0,0.419,0.187,-0.088,1.0,0.419,0.419
