AoA,Cl_s,Cd_s,Cm_s,f_s,Cl_inv,Cl_fs
-180.0,0.0,0.0,0.0,0.0,-24.551,0.0
-175.0,0.174,0.01,0.022,0.0,-23.86,0.174
-170.0,0.342,0.039,0.043,0.0,-23.17,0.342
-165.0,0.5,0.087,0.065,0.0,-22.479,0.5
-160.0,0.643,0.152,0.086,0.0,-21.789,0.643
-155.0,0.766,0.232,0.106,0.0,-21.098,0.766
-150.0,0.866,0.325,0.125,0.0,-20.408,0.866
-145.0,0.94,0.428,0.143,0.0,-19.717,0.94
-140.0,0.985,0.537,0.161,0.0,-19.027,0.985
-135.0,1.0,0.65,0.177,0.0,-18.337,1.0
-130.0,0.985,0.763,0.192,0.0,-17.646,0.985
-125.0,0.94,0.872,0.205,0.0,-16.956,0.94
-120.0,0.866,0.975,0.216,0.0,-16.265,0.866
-115.0,0.766,1.068,0.227,0.0,-15.575,0.766
-110.0,0.643,1.148,0.235,0.0,-14.884,0.643
-105.0,0.5,1.213,0.241,0.0,-14.194,0.5
-100.0,0.342,1.261,0.246,0.0,-13.503,0.342
-95.0,0.174,1.29,0.249,0.0,-12.813,0.174
-90.0,0.0,1.3,0.25,0.0,-12.122,0.0
-85.0,-0.174,1.29,0.249,0.0,-11.432,-0.174
-80.0,-0.342,1.261,0.246,0.0,-10.742,-0.342
-75.0,-0.5,1.213,0.241,0.0,-10.051,-0.5
-70.0,-0.643,1.148,0.235,0.0,-9.361,-0.643
-65.0,-0.766,1.068,0.227,0.0,-8.67,-0.766
-60.0,-0.866,0.975,0.216,0.0,-7.98,-0.866
-55.0,-0.94,0.872,0.205,0.0,-7.289,-0.94
-50.0,-0.985,0.763,0.192,0.0,-6.599,-0.985
-45.0,-1.0,0.65,0.177,0.0,-5.908,-1.0
-40.0,-1.022,0.542,0.142,0.0,-5.218,-1.022
-39.0,-1.024,0.521,0.135,0.0,-5.08,-1.024
-38.0,-1.016,0.499,0.128,0.0,-4.942,-1.016
-37.0,-1.018,0.477,0.12,0.0,-4.804,-1.018
-36.0,-1.011,0.456,0.114,0.0,-4.666,-1.011
-35.0,-1.003,0.434,0.106,0.0,-4.528,-1.003
-34.0,-0.995,0.413,0.099,0.0,-4.389,-0.995
-33.0,-0.978,0.391,0.092,0.0,-4.251,-0.978
-32.0,-0.964,0.29,0.052,0.0,-4.113,-0.964
-30.0,-0.96,0.256,0.039,0.0,-3.837,-0.96
-28.0,-0.957,0.223,0.026,0.001,-3.561,-0.954
-26.0,-0.944,0.194,0.015,0.005,-3.285,-0.932
-24.0,-0.931,0.165,0.005,0.013,-3.009,-0.904
-22.0,-0.905,0.142,-0.004,0.023,-2.732,-0.862
-20.0,-0.878,0.118,-0.012,0.038,-2.456,-0.815
-18.0,-0.846,0.099,-0.017,0.06,-2.18,-0.76
-16.0,-0.813,0.079,-0.023,0.094,-1.904,-0.7
-14.0,-0.773,0.064,-0.024,0.143,-1.628,-0.63
