AoA,Cl_s,Cd_s,Cm_s,f_s,Cl_inv,Cl_fs
-12.0,-0.732,0.05,-0.024,0.223,-1.351,-0.555
-10.0,-0.693,0.038,-0.023,0.367,-1.075,-0.472
-8.0,-0.655,0.027,-0.021,0.657,-0.799,-0.379
-6.0,-0.451,0.02,-0.039,0.734,-0.523,-0.251
-4.0,-0.247,0.014,-0.057,1.0,-0.247,-0.123
-2.0,0.029,0.013,-0.072,1.0,0.029,0.015
0.0,0.306,0.012,-0.086,1.0,0.306,0.153
2.0,0.567,0.012,-0.095,0.949,0.582,0.289
4.0,0.82,0.012,-0.102,0.912,0.858,0.424
6.0,1.061,0.014,-0.107,0.874,1.134,0.558
8.0,1.287,0.015,-0.109,0.83,1.41,0.689
10.0,1.484,0.018,-0.108,0.768,1.687,0.815
12.0,1.639,0.022,-0.103,0.685,1.963,0.935
14.0,1.712,0.032,-0.095,0.561,2.239,1.039
16.0,1.604,0.058,-0.089,0.357,2.515,1.099
18.0,1.418,0.099,-0.094,0.181,2.791,1.115
20.0,1.306,0.139,-0.104,0.093,3.067,1.125
22.0,1.251,0.178,-0.115,0.05,3.344,1.141
24.0,1.196,0.217,-0.126,0.022,3.62,1.14
26.0,1.177,0.255,-0.137,0.01,3.896,1.15
28.0,1.159,0.293,-0.148,0.003,4.172,1.15
30.0,1.148,0.333,-0.159,0.0,4.448,1.147
32.0,1.136,0.372,-0.17,0.0,4.725,1.136
33.0,1.151,0.429,-0.137,0.0,4.863,1.151
34.0,1.163,0.45,-0.141,0.0,5.001,1.163
35.0,1.165,0.471,-0.145,0.0,5.139,1.165
36.0,1.157,0.492,-0.149,0.0,5.277,1.157
37.0,1.148,0.513,-0.153,0.0,5.415,1.148
38.0,1.15,0.534,-0.157,0.0,5.553,1.15
39.0,1.141,0.555,-0.16,0.0,5.691,1.141
40.0,1.123,0.575,-0.164,0.0,5.829,1.123
45.0,1.03,0.677,-0.183,0.0,6.52,1.03
50.0,0.976,0.776,-0.194,0.0,7.21,0.976
55.0,0.921,0.876,-0.205,0.0,7.901,0.921
60.0,0.866,0.975,-0.216,0.0,8.591,0.866
65.0,0.766,1.068,-0.227,0.0,9.282,0.766
70.0,0.643,1.148,-0.235,0.0,9.972,0.643
75.0,0.5,1.213,-0.241,0.0,10.662,0.5
80.0,0.342,1.261,-0.246,0.0,11.353,0.342
85.0,0.174,1.29,-0.249,0.0,12.043,0.174
90.0,0.0,1.3,-0.25,0.0,12.734,0.0
95.0,-0.174,1.29,-0.249,0.0,13.424,-0.174
100.0,-0.342,1.261,-0.246,0.0,14.115,-0.342
105.0,-0.5,1.213,-0.241,0.0,14.805,-0.5
110.0,-0.643,1.148,-0.235,0.0,15.496,-0.643
115.0,-0.766,1.068,-0.227,0.0,16.186,-0.766
120.0,-0.866,0.975,-0.216,0.0,16.877,-0.866
125.0,-0.94,0.872,-0.205,0.0,17.567,-0.94
130.0,-0.985,0.763,-0.192,0.0,18.257,-0.985
135.0,-1.0,0.65,-0.177,0.0,18.948,-1.0
140.0,-0.985,0.537,-0.161,0.0,19.638,-0.985
145.0,-0.94,0.428,-0.143,0.0,20.329,-0.94
150.0,-0.866,0.325,-0.125,0.0,21.019,-0.866
155.0,-0.766,0.232,-0.106,0.0,21.71,-0.766
160.0,-0.643,0.152,-0.086,0.0,22.4,-0.643
165.0,-0.5,0.087,-0.065,0.0,23.091,-0.5
170.0,-0.342,0.039,-0.043,0.0,23.781,-0.342
175.0,-0.174,0.01,-0.022,0.0,24.472,-0.174
180.0,0.0,0.0,0.0,0.0,25.162,0.0
